id	effectiveTime	active	moduleId	refsetId	referencedComponentId	sourceEffectiveTime	targetEffectiveTime
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20250521	1	999000011000230102	900000000000534007	999000041000000102	20250521	20240925
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20250627	1	999000011000230102	900000000000534007	999000041000000102	20250627	20250604
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20250904	1	999000011000230102	900000000000534007	999000041000000102	20250904	20250730
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20250912	1	999000011000230102	900000000000534007	999000041000000102	20250912	20250730
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20251211	1	999000011000230102	900000000000534007	999000041000000102	20251211	20251119
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20200427	1	999000011000230102	900000000000534007	999000011000000103	20200427	20200415
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20200507	1	999000011000230102	900000000000534007	999000011000000103	20200507	20200415
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20200521	1	999000011000230102	900000000000534007	999000011000000103	20200521	20200513
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20200608	1	999000011000230102	900000000000534007	999000011000000103	20200608	20200513
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20200618	1	999000011000230102	900000000000534007	999000011000000103	20200618	20200610
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20200715	1	999000011000230102	900000000000534007	999000011000000103	20200715	20200610
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20200812	1	999000011000230102	900000000000534007	999000011000000103	20200812	20200812
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20200909	1	999000011000230102	900000000000534007	999000011000000103	20200909	20200805
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20201016	1	999000011000230102	900000000000534007	999000011000000103	20201016	20200930
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20201223	1	999000011000230102	900000000000534007	999000011000000103	20201223	20201125
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20210127	1	999000011000230102	900000000000534007	999000011000000103	20210127	20201125
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20210224	1	999000011000230102	900000000000534007	999000011000000103	20210224	20210120
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20210315	1	999000011000230102	900000000000534007	999000011000000103	20210315	20210120
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20210331	1	999000011000230102	900000000000534007	999000011000000103	20210331	20210317
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20210423	1	999000011000230102	900000000000534007	999000011000000103	20210423	20210317
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20210521	1	999000011000230102	900000000000534007	999000011000000103	20210521	20210317
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20210707	1	999000011000230102	900000000000534007	999000011000000103	20210707	20210512
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20210817	1	999000011000230102	900000000000534007	999000011000000103	20210817	20210707
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20210914	1	999000011000230102	900000000000534007	999000011000000103	20210914	20210901
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20211027	1	999000011000230102	900000000000534007	999000011000000103	20211027	20210929
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20211115	1	999000011000230102	900000000000534007	999000011000000103	20211115	20210929
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20211221	1	999000011000230102	900000000000534007	999000011000000103	20211221	20211124
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20220309	1	999000011000230102	900000000000534007	999000011000000103	20220309	20220216
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20220407	1	999000011000230102	900000000000534007	999000011000000103	20220407	20220216
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20220429	1	999000011000230102	900000000000534007	999000011000000103	20220429	20220413
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20220722	1	999000011000230102	900000000000534007	999000011000000103	20220722	20220511
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20220817	1	999000011000230102	900000000000534007	999000011000000103	20220817	20220706
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20220916	1	999000011000230102	900000000000534007	999000011000000103	20220916	20220706
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20221007	1	999000011000230102	900000000000534007	999000011000000103	20221007	20220706
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20221028	1	999000011000230102	900000000000534007	999000011000000103	20221028	20220706
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20221129	1	999000011000230102	900000000000534007	999000011000000103	20221129	20220928
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20230130	1	999000011000230102	900000000000534007	999000011000000103	20230130	20221123
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20230309	1	999000011000230102	900000000000534007	999000011000000103	20230309	20221123
